SrNo.,Job ID,Institution,URL,list id,location,Job Title,advice,agency,agent,analytics,asset,authentication,automation,business,cash,chief,collaborative,connectivity,contract,corporate,credit,currency,cyber,data,development,digital,director,electronic,equity,executive,expertise,finance,financial,framework,fraud,funding,global,identity,income,information,insurance,integration,interest,internal,investment,investor,leader,legal,lending,liquidity,loan,loss,management,manager,managing,manual,market,network,officer,operating,operational,payment,personal,policy,portfolio,pricing,product,quality,rate,regulatory,reporting,research,resource,revenue,sale,security,senior,service,settlement,social,structure,system,tax,technology,trading,transaction
34, P102799,Discover Financials,https://jobs.discover.com/job/9200002/senior-consultant-behavioral-insights-riverwoods-il/,1,"Riverwoods, IL",Senior Consultant Behavioral Insights,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
35, P199114,Discover Financials,https://jobs.discover.com/job/9200006/technical-product-owner-web-platform-riverwoods-il/,1,"Riverwoods, IL","Technical Product Owner, Web Platform",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36, P158184_S1,Discover Financials,https://jobs.discover.com/job/9200004/lead-programmer-wfm-phoenix-az/,1,"Phoenix, AZ",Lead Programmer- WFM,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
37, P199113,Discover Financials,https://jobs.discover.com/job/9200005/lead-software-engineer-web-platform-riverwoods-il/,1,"Riverwoods, IL","Lead Software Engineer, Web Platform",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38, P132034_S1,Discover Financials,https://jobs.discover.com/job/9200003/senior-data-analyst-phoenix-az/,1,"Phoenix, AZ",Senior Data Analyst,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,8,2,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39, P199147,Discover Financials,https://jobs.discover.com/job/9200007/account-representative-phoenix-az/,1,"Phoenix, AZ",Account Representative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,0,0,0,0
40, P166048_S1,Discover Financials,https://jobs.discover.com/job/9001533/associate-production-operator-salt-lake-city-ut/,1,"Salt Lake City, UT",Associate Production Operator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
41, P102488_S2,Discover Financials,https://jobs.discover.com/job/9193452/director-corporate-risk-strategic-planning-riverwoods-il/,1,"Riverwoods, IL",Director Corporate Risk Strategic Planning,0,0,0,0,0,0,0,2,0,4,0,0,0,5,0,0,0,1,0,0,0,0,0,2,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0
42, P199149,Discover Financials,https://jobs.discover.com/job/9193458/part-time-customer-service-west-valley-city-ut/,1,"West Valley City, UT",Part Time Customer Service,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,3,0,0,0,0
43, P196953,Discover Financials,https://jobs.discover.com/job/9193454/lead-credit-risk-analyst-riverwoods-il/,1,"Riverwoods, IL",Lead Credit Risk Analyst,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
